Title,Author,Date,Period,Mode,Genre,Nationality,Pseudonym,Publisher,Publishing House,City of Publication,Location/Street of Publication,Role (Central/Peripheral/Influence),Authority,Filename,Full Text Source,Illustrator,Translator,eBook Source,More Info,Notes,eText Publisher,eBook No.,eText Pub date,Date Accessed,Editor,Edition
The Adventures Of Ferdinand Count Fathom,"Smollett, Tobias",1753,Pre-Romantic,Novel,,Scottish,,,,,,Influence,"Tracy, The Gothic Novel (via Lawrence Evalyn)",Smollett_TheAdventuresOfFerdinandCountFathom_Gutenberg.txt,http://www.gutenberg.org/files/6761/6761-0.txt,,,,https://en.wikipedia.org/wiki/The_Adventures_of_Ferdinand_Count_Fathom,,,,26-Oct-06,7-Apr-17,Tapio Riikonen and David Widger,
"Longsword, Earl Of Salisbury. An Historical Romance","Leland, Thomas",1762,Pre-Romantic,Novel,Historical Romance,Irish,,,,,,Influence,"Tracy, The Gothic Novel (via Lawrence Evalyn)",Leland_Longsword_OTA.txt,http://ota.ox.ac.uk/desc/5661,,,,,,,,,,,"DUBLIN: Printed by GEORGE FAULKNER, in Parliament Street, MDCCLXVI"
The Castle Of Otranto,"Walpole, Horace",1764,Romantic,Novel,Gothic,English,,,,,,Central,"Norton, Gothic Readings",Walpole_TheCastleOfOtranto_Gutenberg.txt,http://www.gutenberg.org/files/696/696-0.txt,,,,https://en.wikipedia.org/wiki/The_Castle_of_Otranto,,Project Gutenberg,#696,may 5 2012,7-Apr-17,"Morley, Henry","Cassell & Co, 1901"
The Mysterious Mother,"Walpole, Horace",1768,Romantic,Drama,Gothic,English,,,,,,Central,"Norton, Gothic Readings",,,,,,,,,,,,,
"The Minstrel, Or The Progress Of Genius. A Poem","Beattie, James",1771,Romantic,Poetry,,Scottish,,,,,,Peripheral,"Norton, Gothic Readings",Beattie_TheMinstrel_Gutenberg.txt,http://www.gutenberg.org/cache/epub/27221/pg27221.txt,,,,,,Project Gutenberg,#27221,9-Nov-08,7-Apr-17,,
The Devil In Love,"Cazotte, Jacques",1772,Romantic,Novel,Occult Romance,French,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,,,,,https://en.wikipedia.org/wiki/The_Devil_in_Love_(novel),,,,,,,
"Sir Bertrand, A Fragment","Aikin, John and Anna Laetitia",1773,Romantic,Fragment,Gothic,English,,,,,,Central,"Norton, Gothic Readings",Aikin_SirBertrand_UPenn.txt,http://www.english.upenn.edu/~mgamer/Etexts/barbauldessays.html#pleasure,,,,,,,,,16-Mar-17,,
"""On The Pleasure Derived From Objects Of Terror""","Aikin, John and Anna Laetitia",1773,Romantic,Theory & Criticism,Literary Theory,English,,,,,,,"Norton, Gothic Readings",Aikin_OnThePleasureDerived_UPenn.txt,http://www.english.upenn.edu/~mgamer/Etexts/barbauldessays.html,,,,,,"Michael Gamer, Upenn",,,,"Gamer, Michael",
The Fashionable Friend. A Novel,"Bonhote, Elizabeth",1773,Pre-Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://books.google.ca/books?id=FugeMQAACAAJ&printsec=frontcover#v=onepage&q&f=false,,,,,,,,
"""Lenore""","Bürger, Gottfried August",1773,German Romantic,Poetry,Gothic,German,,,,,,Central,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,Burger_Lenora_RC.txt,http://www.rc.umd.edu/sites/default/RCOldSite/www/rchs/reader/lenora.html,,,,https://en.wikipedia.org/wiki/Lenore_(ballad),,Romantic Circles,,,7-Apr-17,,
"Travels Into Dalmatia; Containing General Observations On The Natural History Of That Country And The Neighbouring Islands; The Natural Productions, Arts, Manners And Customs Of The Inhabitants: In A Series Of Letters From Abbe Alberto Fortis","Fortis, Alberto",1774,,Prose Nonfiction,Travel Writing,Italian,,"London: J. Robson, 1778",,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,,,,https://books.google.ca/books?id=wBg90lSgkQQC&printsec=frontcover#v=onepage&q&f=false,,,,,,,,
The Robbers: A Tragedy,"Schiller, Friedrich",1781,German Romantic,Drama,Tragedy,German,,,,,,Influence,Caroline,Schiller_TheRobbers_Gutenberg.txt,https://www.gutenberg.org/files/6782/6782-h/6782-h.htm,,unknown,,https://en.wikipedia.org/wiki/The_Robbers,Preface states this is the first English translation,Project Gutenberg,#6782,25-Oct-06,7-Apr-17,"Widger, David",1781
"""Illustrations On Sublimity""","Beattie, James",1783,Romantic,Theory & Criticism,Aesthetic Theory,Scottish,,,,,,,"Norton, Gothic Readings",,,,,,,,,,,,,
Memoirs Of Mrs. Siddons,"Boaden, James",1783,Pre-Romantic,Prose Nonfiction,Memoir/Biography,English,,,,,,Peripheral,"Norton, Gothic Readings",,,,,https://archive.org/details/memoirsofmrssidd01boad,,,,,,,,
The Two Mentors: A Modern Story,"Reeve, Clara",1783,Romantic,Novel,Didactic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/twomentorsmodern00reev,,,,,,,,
"""Written On The Sea Shore""","Smith, Charlotte",1784,Romantic,Poetry,Sonnet,English,,,,,,Peripheral,"Norton, Gothic Readings",Smith_WrittenOnTheSeaShore_AllPoetry.txt,https://allpoetry.com/Sonnet-XII.,,,,,,,,,,,
"The Recess, Or A Tale Of Other Times","Lee, Sophia",1785,Romantic,Novel,Historical Romance,English,,,,,,Central,"Norton, Gothic Readings",Lee_TheRecess_OTA.txt,http://ota.ox.ac.uk/text/4944.txt,,,,,,Oxford Text Archive,,,16-Mar-17,,
The Old English Baron,"Reeve, Clara",1785,Romantic,Novel,Gothic,English,,,,,,Central,"Norton, Gothic Readings",Reeve_TheOldEnglishBaron_Gutenberg.txt,http://www.gutenberg.org/files/5182/5182-h/5182-h.htm,,,,https://en.wikipedia.org/wiki/The_Old_English_Baron,,Project Gutenberg,#5182,23-Apr-09,16-Mar-17,"Jack Voller, and David Widger",
Vathek,"Beckford, William",1786,Romantic,Novella,Oriental Tale,English,,,,,,Central,"Norton, Gothic Readings",Beckford_Vathek_Gutenberg.txt,http://www.gutenberg.org/files/42401/42401-0.txt,,,,https://en.wikipedia.org/wiki/Vathek,,Project Gutenberg,#42401,24-Mar-13,16-Mar-17,,
The Ghost-Seer,"Schiller, Friedrich",1787,German Romantic,Novel,Gothic,German,,,,,,Central,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,Schiller_TheGhostSeer_Gutenberg.txt,http://www.gutenberg.org/files/6781/6781-h/6781-h.htm,,,,https://en.wikipedia.org/wiki/The_Ghost-Seer,,Project Gutenberg,#6781,26-Oct-06,7-Apr-17,"Widger, David",
"""Invocation To Horror""","Cowley, Hannah",1788,Romantic,Poetry,Della Cruscan,English,"Matilda, Anna",,,,,Peripheral,"Norton, Gothic Readings",Cowley_InvocationToHorror_SpenserAndTheTradition.txt,http://spenserians.cath.vt.edu/TextRecord.php?action=GET&textsid=35091,,,,,,Spenser & the Tradition: English Poetry 1579-1830,,,7-Apr-17,,
"Melissa And Marcia: Or, The Sisters","de Montolieu, Isabelle",1788,,Novel,Gothic,Swiss,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,,,,,,,,,,,,
"The Exiles, Or, Memoirs Of The Count De Cronstadt","Reeve, Clara",1788,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,
"Emmeline, Or The Orphan Of The Castle","Smith, Charlotte Turner",1788,Romantic,Novel,Gothic,English,,,,,,Central,Caroline,Smith_Emmeline_Gutenberg.txt,http://www.gutenberg.org/files/41646/41646-h/41646-h.htm,,,,https://en.wikipedia.org/wiki/Emmeline,,,,,16-Mar-17,,
