Title,Author,Date,Period,Mode,Genre,Nationality,Pseudonym,Publisher,Publishing House,City of Publication,Location/Street of Publication,Role (Central/Peripheral/Influence),Authority,Filename,Full Text Source,Illustrator,Translator,eBook Source,More Info,Notes,eText Publisher,eBook No.,eText Pub date,Date Accessed,Editor,Edition,color_word_list,color_word_summary
The Adventures Of Ferdinand Count Fathom,"Smollett, Tobias",1753,Pre-Romantic,Novel,,Scottish,,,,,,Influence,"Tracy, The Gothic Novel (via Lawrence Evalyn)",Smollett_TheAdventuresOfFerdinandCountFathom_Gutenberg.txt,http://www.gutenberg.org/files/6761/6761-0.txt,,,,https://en.wikipedia.org/wiki/The_Adventures_of_Ferdinand_Count_Fathom,,,,26-Oct-06,7-Apr-17,Tapio Riikonen and David Widger,,"['candid', 'sanguine', 'cardinal', 'candid', 'imperial', 'imperial', 'natural', 'golden', 'natural', 'natural', 'angry', 'natural', 'natural', 'imperial', 'sable', 'wine', 'candid', 'blank', 'golden', 'rusty', 'hoary', 'white', 'hoary', 'brown', 'natural', 'buff', 'black', 'yellow', 'black', 'black', 'brown', 'natural', 'natural', 'white', 'wine', 'black', 'wine', 'gold', 'rosy', 'black', 'rosy', 'canary', 'bronzes', 'jaundiced', 'fleshy', 'natural', 'natural', 'sanguine', 'white', 'grey', 'grey', 'brown', 'white', 'red', 'blue', 'rusty', 'black', 'white', 'cardinal', 'natural', 'smoked', 'imperial', 'black', 'natural', 'natural', 'imperial', 'rusty', 'black', 'imperial', 'imperial', 'natural', 'sable', 'white', 'natural', 'sage', 'natural', 'natural', 'black', 'rusty', 'sanguine', 'neutral', 'imperial', 'imperial', 'white', 'natural', 'imperial', 'angry', 'black', 'imperial', 'wan', 'natural', 'verdant', 'imperial', 'natural', 'white', 'pearly', 'sanguine', 'snowy', 'black', 'white', 'rosy', 'black', 'marble', 'flinty', 'straw', 'black', 'yellow', 'straw', 'sanguine', 'imperial']","{'candid': 3, 'sanguine': 5, 'cardinal': 2, 'imperial': 13, 'natural': 20, 'golden': 2, 'angry': 2, 'sable': 2, 'wine': 3, 'blank': 1, 'rusty': 4, 'hoary': 2, 'white': 9, 'brown': 3, 'buff': 1, 'black': 13, 'yellow': 2, 'gold': 1, 'rosy': 3, 'canary': 1, 'bronzes': 1, 'jaundiced': 1, 'fleshy': 1, 'grey': 2, 'red': 1, 'blue': 1, 'smoked': 1, 'sage': 1, 'neutral': 1, 'wan': 1, 'verdant': 1, 'pearly': 1, 'snowy': 1, 'marble': 1, 'flinty': 1, 'straw': 2}"
"Longsword, Earl Of Salisbury. An Historical Romance","Leland, Thomas",1762,Pre-Romantic,Novel,Historical Romance,Irish,,,,,,Influence,"Tracy, The Gothic Novel (via Lawrence Evalyn)",Leland_Longsword_OTA.txt,http://ota.ox.ac.uk/desc/5661,,,,,,,,,,,"DUBLIN: Printed by GEORGE FAULKNER, in Parliament Street, MDCCLXVI","['hoary', 'hoary', 'bloody', 'black', 'natural', 'black', 'angry', 'angry', 'natural', 'grey', 'natural', 'natural', 'grey', 'grey', 'imperial', 'sanguine', 'bloody', 'bloody', 'bloody', 'grey', 'grey']","{'hoary': 2, 'bloody': 4, 'black': 2, 'natural': 4, 'angry': 2, 'grey': 5, 'imperial': 1, 'sanguine': 1}"
The Castle Of Otranto,"Walpole, Horace",1764,Romantic,Novel,Gothic,English,,,,,,Central,"Norton, Gothic Readings",Walpole_TheCastleOfOtranto_Gutenberg.txt,http://www.gutenberg.org/files/696/696-0.txt,,,,https://en.wikipedia.org/wiki/The_Castle_of_Otranto,,Project Gutenberg,#696,may 5 2012,7-Apr-17,"Morley, Henry","Cassell & Co, 1901","['natural', 'black', 'natural', 'sable', 'black', 'black', 'marble', 'rusty', 'black', 'white', 'bloody', 'sable', 'brazen', 'black', 'black', 'black', 'black', 'grey', 'lily', 'natural', 'marble', 'hoary', 'wan', 'natural', 'watchet-coloured', 'bloody']","{'natural': 4, 'black': 8, 'sable': 2, 'marble': 2, 'rusty': 1, 'white': 1, 'bloody': 2, 'brazen': 1, 'grey': 1, 'lily': 1, 'hoary': 1, 'wan': 1, 'watchet-coloured': 1}"
The Mysterious Mother,"Walpole, Horace",1768,Romantic,Drama,Gothic,English,,,,,,Central,"Norton, Gothic Readings",,,,,,,,,,,,,,,
"The Minstrel, Or The Progress Of Genius. A Poem","Beattie, James",1771,Romantic,Poetry,,Scottish,,,,,,Peripheral,"Norton, Gothic Readings",Beattie_TheMinstrel_Gutenberg.txt,http://www.gutenberg.org/cache/epub/27221/pg27221.txt,,,,,,Project Gutenberg,#27221,9-Nov-08,7-Apr-17,,,"['blank', 'hoary', 'grey', 'imperial', 'green', 'nut-brown', 'nut-brown', 'snowy', 'black', 'sulphurous', 'green', 'imperial', 'hoary', 'sunny', 'blue', 'blushing', 'hoary', 'marble', 'green', 'yellow', 'hoary', 'angry', 'sunny', 'red', 'snow', 'crimson', 'hoary', 'yellow', 'gilded', 'hoary', 'rosy', 'purple', 'black', 'sable', 'black', 'leaden', 'green', 'hoary', 'yellow', 'bloody', 'golden', 'white', 'bloody', 'green', 'imperial', 'green', 'golden', 'black', 'yellow', 'angry', 'green', 'angry', 'sulphureous', 'sable', 'blue', 'green', 'blue', 'gilded', 'rosy', 'green', 'navy', 'red', 'bloody', 'black', 'purple']","{'blank': 1, 'hoary': 7, 'grey': 1, 'imperial': 3, 'green': 9, 'nut-brown': 2, 'snowy': 1, 'black': 5, 'sulphurous': 1, 'sunny': 2, 'blue': 3, 'blushing': 1, 'marble': 1, 'yellow': 4, 'angry': 3, 'red': 2, 'snow': 1, 'crimson': 1, 'gilded': 2, 'rosy': 2, 'purple': 2, 'sable': 2, 'leaden': 1, 'bloody': 3, 'golden': 2, 'white': 1, 'sulphureous': 1, 'navy': 1}"
The Devil In Love,"Cazotte, Jacques",1772,Romantic,Novel,Occult Romance,French,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,,,,,https://en.wikipedia.org/wiki/The_Devil_in_Love_(novel),,,,,,,,,
"Sir Bertrand, A Fragment","Aikin, John and Anna Laetitia",1773,Romantic,Fragment,Gothic,English,,,,,,Central,"Norton, Gothic Readings",Aikin_SirBertrand_UPenn.txt,http://www.english.upenn.edu/~mgamer/Etexts/barbauldessays.html#pleasure,,,,,,,,,16-Mar-17,,,"['brown', 'black', 'black', 'brazen', 'black', 'black']","{'brown': 1, 'black': 4, 'brazen': 1}"
"""On The Pleasure Derived From Objects Of Terror""","Aikin, John and Anna Laetitia",1773,Romantic,Theory & Criticism,Literary Theory,English,,,,,,,"Norton, Gothic Readings",Aikin_OnThePleasureDerived_UPenn.txt,http://www.english.upenn.edu/~mgamer/Etexts/barbauldessays.html,,,,,,"Michael Gamer, Upenn",,,,"Gamer, Michael",,"['natural', 'natural']",{'natural': 2}
The Fashionable Friend. A Novel,"Bonhote, Elizabeth",1773,Pre-Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://books.google.ca/books?id=FugeMQAACAAJ&printsec=frontcover#v=onepage&q&f=false,,,,,,,,,,
"""Lenore""","Bürger, Gottfried August",1773,German Romantic,Poetry,Gothic,German,,,,,,Central,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,Burger_Lenora_RC.txt,http://www.rc.umd.edu/sites/default/RCOldSite/www/rchs/reader/lenora.html,,,,https://en.wikipedia.org/wiki/Lenore_(ballad),,Romantic Circles,,,7-Apr-17,,,"['white', 'black']","{'white': 1, 'black': 1}"
